iter	Passed	Remaining
0	60	24012
1	70	14081
2	76	10146
3	81	8081
4	88	6961
5	97	6373
6	103	5838
7	118	5798
8	123	5357
9	131	5121
10	136	4834
11	141	4575
12	145	4334
13	149	4126
14	154	3959
15	159	3818
16	163	3672
17	167	3563
18	171	3444
19	176	3346
20	179	3246
21	183	3150
22	187	3066
23	190	2990
24	194	2920
25	197	2845
26	201	2779
27	204	2722
28	208	2670
29	212	2622
30	216	2579
31	221	2541
32	225	2508
33	229	2465
34	232	2422
35	235	2384
36	239	2345
37	242	2311
38	245	2274
39	248	2240
40	251	2206
41	255	2175
42	258	2149
43	261	2118
44	264	2090
45	267	2062
46	271	2039
47	274	2015
48	278	1991
49	281	1970
50	284	1947
51	287	1926
52	291	1907
53	294	1885
54	297	1867
55	300	1846
56	304	1833
57	308	1818
58	311	1801
59	315	1785
60	319	1774
61	322	1760
62	326	1746
63	330	1733
64	334	1723
65	338	1714
66	342	1701
67	345	1686
68	348	1670
69	351	1657
70	354	1644
71	357	1628
72	360	1615
73	363	1603
74	367	1592
75	370	1581
76	374	1569
77	377	1556
78	380	1544
79	383	1535
80	387	1525
81	390	1513
82	393	1502
83	396	1492
84	399	1482
85	403	1474
86	407	1464
87	410	1454
88	413	1444
89	416	1435
90	420	1426
91	423	1416
92	426	1406
93	429	1396
94	432	1388
95	436	1382
96	439	1372
97	442	1363
98	445	1353
99	448	1346
100	452	1339
101	455	1330
102	458	1321
103	461	1313
104	464	1306
105	468	1299
106	471	1291
107	474	1283
108	478	1276
109	481	1270
110	485	1265
111	488	1257
112	492	1250
113	495	1243
114	500	1239
115	504	1234
116	507	1227
117	510	1220
118	514	1215
119	518	1209
120	521	1202
121	525	1196
122	528	1189
123	533	1188
124	536	1180
125	540	1175
126	543	1168
127	549	1168
128	554	1165
129	558	1159
130	562	1154
131	568	1153
132	573	1151
133	576	1145
134	582	1143
135	587	1140
136	590	1134
137	594	1128
138	598	1123
139	601	1117
140	605	1111
141	608	1104
142	612	1100
143	615	1094
144	619	1089
145	622	1083
146	626	1077
147	630	1073
148	633	1067
149	636	1061
150	639	1055
151	644	1050
152	647	1045
153	651	1040
154	654	1034
155	658	1029
156	662	1024
157	665	1018
158	668	1012
159	671	1007
160	674	1001
161	678	996
162	681	990
163	684	984
164	687	978
165	690	972
166	693	967
167	696	962
168	699	956
169	702	950
170	706	945
171	710	941
172	713	935
173	717	931
174	721	927
175	724	922
176	728	917
177	732	913
178	735	908
179	738	902
180	742	898
181	745	893
182	748	888
183	752	882
184	755	877
185	759	873
186	762	868
187	765	863
188	768	857
189	771	853
190	775	849
191	779	844
192	782	839
193	785	834
194	789	829
195	792	825
196	796	820
197	799	815
198	801	809
199	805	805
200	808	800
201	811	795
202	814	790
203	817	785
204	820	780
205	823	775
206	826	770
207	829	765
208	832	760
209	835	755
210	838	751
211	841	746
212	844	741
213	847	736
214	850	731
215	853	727
216	857	722
217	859	717
218	862	713
219	865	708
220	869	703
221	872	699
222	875	694
223	878	690
224	881	685
225	884	681
226	888	677
227	891	672
228	894	668
229	897	663
230	900	658
231	904	654
232	907	650
233	910	646
234	913	641
235	916	636
236	919	632
237	922	627
238	925	623
239	928	618
240	930	614
241	933	609
242	937	605
243	940	601
244	943	596
245	945	592
246	948	587
247	952	583
248	955	579
249	958	574
250	962	571
251	965	567
252	969	563
253	973	559
254	976	555
255	979	550
256	982	546
257	986	542
258	989	538
259	992	534
260	995	529
261	997	525
262	1001	521
263	1004	517
264	1007	513
265	1010	508
266	1012	504
267	1015	500
268	1019	496
269	1021	492
270	1024	487
271	1027	483
272	1030	479
273	1033	475
274	1036	471
275	1039	466
276	1042	462
277	1044	458
278	1048	454
279	1051	450
280	1054	446
281	1056	442
282	1059	438
283	1062	433
284	1066	430
285	1069	426
286	1071	421
287	1074	417
288	1077	413
289	1080	409
290	1083	405
291	1086	401
292	1089	397
293	1092	393
294	1094	389
295	1098	385
296	1101	381
297	1104	377
298	1107	374
299	1111	370
300	1116	367
301	1119	363
302	1123	359
303	1126	355
304	1130	352
305	1134	348
306	1137	344
307	1141	340
308	1146	337
309	1151	334
310	1154	330
311	1157	326
312	1160	322
313	1164	318
314	1167	315
315	1171	311
316	1173	307
317	1176	303
318	1180	299
319	1182	295
320	1185	291
321	1188	287
322	1191	283
323	1194	280
324	1197	276
325	1200	272
326	1203	268
327	1206	264
328	1209	260
329	1212	257
330	1216	253
331	1219	249
332	1222	245
333	1224	242
334	1228	238
335	1231	234
336	1234	230
337	1237	226
338	1240	223
339	1244	219
340	1247	215
341	1250	212
342	1253	208
343	1256	204
344	1260	200
345	1264	197
346	1267	193
347	1270	189
348	1273	186
349	1277	182
350	1280	178
351	1283	174
352	1286	171
353	1288	167
354	1292	163
355	1295	160
356	1298	156
357	1301	152
358	1304	148
359	1307	145
360	1310	141
361	1313	137
362	1316	134
363	1318	130
364	1321	126
365	1325	123
366	1328	119
367	1330	115
368	1333	112
369	1336	108
370	1339	104
371	1342	101
372	1344	97
373	1347	93
374	1350	90
375	1353	86
376	1355	82
377	1358	79
378	1361	75
379	1364	71
380	1367	68
381	1369	64
382	1372	60
383	1376	57
384	1378	53
385	1381	50
386	1383	46
387	1386	42
388	1389	39
389	1392	35
390	1395	32
391	1398	28
392	1401	24
393	1404	21
394	1408	17
395	1412	14
396	1415	10
397	1417	7
398	1420	3
399	1423	0
